student_id,student_no,item_id,paper,paper_item_no,source_true,item_type,score,correct,response_missing,form,order_group,block_position,training_year,training_setting_code,training_setting,total_time_seconds
S022,22,M024,M,24,MAS,A1,2.0,1,0,A,A,2,2,A,main,1118.0
S023,23,M001,M,1,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2368.0
S023,23,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2368.0
S023,23,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2368.0
S023,23,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2368.0
S023,23,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2368.0
S023,23,M023,M,23,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2368.0
S023,23,M024,M,24,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,2368.0
S024,24,M001,M,1,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2345.0
S024,24,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2345.0
S024,24,M006,M,6,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,2345.0
S024,24,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2345.0
S024,24,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2345.0
S024,24,M023,M,23,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2345.0
S024,24,M024,M,24,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,2345.0
S025,25,M001,M,1,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2005.0
S025,25,M002,M,2,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2005.0
S025,25,M006,M,6,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,2005.0
S025,25,M007,M,7,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2005.0
S025,25,M017,M,17,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2005.0
S025,25,M023,M,23,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2005.0
S025,25,M024,M,24,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2005.0
S026,26,M001,M,1,MAS,A1,2.0,1,0,B,B,1,1,A,main,2263.0
S026,26,M002,M,2,MAS,A1,2.0,1,0,B,B,1,1,A,main,2263.0
S026,26,M006,M,6,MAS,A1,2.0,1,0,B,B,1,1,A,main,2263.0
S026,26,M007,M,7,MAS,A1,2.0,1,0,B,B,1,1,A,main,2263.0
S026,26,M017,M,17,MAS,A1,2.0,1,0,B,B,1,1,A,main,2263.0
S026,26,M023,M,23,MAS,A1,0.0,0,0,B,B,1,1,A,main,2263.0
S026,26,M024,M,24,MAS,A1,0.0,0,0,B,B,1,1,A,main,2263.0
S027,27,M001,M,1,MAS,A1,0.0,0,0,B,B,1,3,A,main,5400.0
S027,27,M002,M,2,MAS,A1,2.0,1,0,B,B,1,3,A,main,5400.0
S027,27,M006,M,6,MAS,A1,2.0,1,0,B,B,1,3,A,main,5400.0
S027,27,M007,M,7,MAS,A1,2.0,1,0,B,B,1,3,A,main,5400.0
