source,bootstrap_replicate,icc_3_1,icc_3_k
Human,345,0.8838729564728306,0.9681984764347374
Human,346,0.8640690653421577,0.96215949491772
Human,347,0.8754577195931205,0.9656565182473388
Human,348,0.880118109788646,0.9670686204240359
Human,349,0.8714658222984332,0.9644382835925416
Human,350,0.8432871970802492,0.9556036975192939
Human,351,0.8295472423440295,0.9511406527259019
Human,352,0.7904455347090964,0.9378423189679842
Human,353,0.8678472489382767,0.9633269820785251
Human,354,0.8298887318140038,0.9512528538092884
Human,355,0.8835068678284163,0.9680886249319166
Human,356,0.8561692625668981,0.9596944308405793
Human,357,0.8319822087050306,0.9519392572987646
Human,358,0.8828348523786085,0.967886802445611
Human,359,0.8694206804238158,0.9638110209062943
Human,360,0.8311326716644153,0.951661010966736
Human,361,0.8371774954684665,0.9536320665800796
Human,362,0.8487951164926077,0.9573636622625751
Human,363,0.8984449590347846,0.9725180411674101
Human,364,0.7831043081030011,0.9352417356041026
Human,365,0.8867141904076077,0.9690487986771115
Human,366,0.8942185226014666,0.9712757613491396
Human,367,0.81366212873493,0.9458475418525006
Human,368,0.8230794891736196,0.9490030701311781
Human,369,0.8865113197933396,0.9689882150387567
Human,370,0.8301824725838869,0.9513493137057865
Human,371,0.8279952302704533,0.9506298862870789
Human,372,0.865721287247126,0.9626709491382831
Human,373,0.8550536874105331,0.9593436846023617
Human,374,0.8294108331106834,0.9510958151665687
Human,375,0.8733561338536906,0.9650161676249827
Human,376,0.8386399894645035,0.9541058920606703
Human,377,0.8259073752738584,0.9499406167521179
Human,378,0.8569133064411941,0.9599279990165425
Human,379,0.8854908780081131,0.9686831727041104
Human,380,0.8786014731363223,0.9666102702841722
Human,381,0.8636988134518563,0.9620446877960626
Human,382,0.9019736725231426,0.9735487272901598
Human,383,0.8388192537047029,0.9541638895602059
Human,384,0.8718812771839647,0.9645654470448644
Human,385,0.8648943922856166,0.9624151556431412
Human,386,0.8286374299253813,0.9508413993727813
Human,387,0.8397053757574783,0.9544503169417256
Human,388,0.8480659559095939,0.9571316134819049
Human,389,0.872682457613656,0.9648104269330305
Human,390,0.8689434998587233,0.9636643584563576
Human,391,0.8571567710527991,0.9600043633511604
Human,392,0.8563278209135898,0.9597442295302544
Human,393,0.8502399601282858,0.957822626138708
Human,394,0.8337988363768034,0.9525328927501348
Human,395,0.8522454912350348,0.9584578419409726
Human,396,0.8803140615841807,0.9671277564040875
Human,397,0.8875445210947758,0.9692965520677466
Human,398,0.8239680983211287,0.9492981699022531
Human,399,0.7805407059572832,0.9343255202708312
Human,400,0.8654267709024162,0.9625798832693666
Human,401,0.8689911574694289,0.9636790113559943
Human,402,0.8765044476169418,0.9659746250482006
Human,403,0.8482846316796864,0.9572012351390178
Human,404,0.8615350873765717,0.961372340188676
Human,405,0.864402711432711,0.9622628905704135
Human,406,0.8629379322929713,0.9618085318814179
Human,407,0.8598415921032256,0.9608444090611181
Human,408,0.8238092389431291,0.9492454472830579
Human,409,0.8817892572289969,0.9675723410710086
Human,410,0.8454807172977,0.9563065713885398
Human,411,0.85022264411347,0.9578171322295957
Human,412,0.8536649188973481,0.9589061228389484
Human,413,0.85142447708105,0.9581980605057209
Human,414,0.8917292773807366,0.9705400845985731
Human,415,0.8568882494946055,0.9599201379613802
Human,416,0.8686640200187496,0.9635784056664835
Human,417,0.8688581455916761,0.9636381123674824
Human,418,0.8595966908536885,0.9607679393595067
Human,419,0.8621105114878446,0.9615513827466646
Human,420,0.8691085728833597,0.9637151071665294
Human,421,0.8352635039939744,0.9530101711887813
Human,422,0.8782864088402433,0.9665149092235245
Human,423,0.8306854542452452,0.951514372001112
Human,424,0.8380055215497567,0.9539004795595175
Human,425,0.7987603091790023,0.9407470420985059
Human,426,0.853074429626845,0.9587197659578793
Human,427,0.8311447465186833,0.9516649686519432
Human,428,0.8598058566694888,0.9608332527321813
Human,429,0.8830154630259591,0.9679410661031352
Human,430,0.8721259260957914,0.9646402887795736
Human,431,0.852234234626,0.9584542826104399
Human,432,0.8490891844938263,0.957457165767476
Human,433,0.8201727548013397,0.94803459150948
Human,434,0.9270693002178442,0.9807123274629912
Human,435,0.864270118067548,0.9622218072897492
Human,436,0.8727631072203043,0.9648350694296359
Human,437,0.8251657803130049,0.9496951939431615
Human,438,0.8607087670296344,0.9611149297198082
Human,439,0.8391400751797653,0.9542676409112956
Human,440,0.8515614291753762,0.9582414192603504
Human,441,0.8656049328623278,0.9626349771496521
Human,442,0.8612918731760391,0.9612966125084931
