source,bootstrap_replicate,icc_2_1,icc_2_k,icc_c_1,icc_c_k
Human,180,0.08246498051302,0.21236894046502244,0.11442544842143121,0.27934743437648285
Human,181,0.1897392410430351,0.412632549562009,0.26326433062469884,0.5173784232964779
Human,182,0.09819930702797662,0.24623726375376098,0.13495929643312346,0.3188219241562154
Human,183,0.3449079614972576,0.6123293492572512,0.6093352466914783,0.8239194353223454
Human,184,0.2740896036453272,0.5311199162627749,0.5394518010147049,0.7784658227848027
Human,185,0.25276883413597695,0.5036781997479413,0.48939570677613237,0.7419615378726317
Human,186,0.3336038925994825,0.6002921091680306,0.5249752014457805,0.7682749797828413
Human,187,0.1361429154163795,0.3210196453903809,0.17471839709997689,0.3884251515541998
Human,188,0.30498078559339964,0.5683007427970719,0.6000533495221365,0.8182148844637396
Human,189,0.16900838148103978,0.37893781190055903,0.22212304878603203,0.46139584346347595
Human,190,0.12970231266227694,0.3089610202809572,0.20158130586771877,0.43098633939170206
Human,191,0.1663161465400229,0.3744081861222756,0.3457895903439477,0.6132546338209176
Human,192,0.14963509961261717,0.34550573014415126,0.2038874701399984,0.4344887758112385
Human,193,0.09677139815296233,0.2432373563456829,0.1308297291605353,0.31108964062608735
Human,194,0.12038724172091611,0.29107765349985915,0.16489331092029516,0.3719994806957727
Human,195,0.10700055166441987,0.2644162794523499,0.15008933189148385,0.34631240168513683
Human,196,0.32840875912408557,0.5946498431607492,0.5121240503694373,0.7589841139272987
Human,197,0.10400724408543349,0.2582930381313165,0.13394789208200134,0.3169374654171304
Human,198,0.168090085363812,0.377396901360116,0.23353037389881717,0.47754745176584246
Human,199,0.13653504534546576,0.321745942373128,0.18851524344327256,0.41069949846100506
Human,200,0.17398024814307567,0.38720774523234025,0.24833123071364469,0.49777001250533953
Human,201,0.1310899820989582,0.3115799311129041,0.16777682438867203,0.3768702767026984
Human,202,0.36758035749389545,0.6355267630004207,0.532956753815451,0.7739289450117719
Human,203,0.13487741433447384,0.318669583975977,0.18632916216502687,0.40722988130924914
Human,204,0.16975983407749304,0.38019561365153026,0.2301495356787596,0.47281315216781306
Human,205,0.1934264818037803,0.41841454042963944,0.5503853323317341,0.7859763203898834
Human,206,0.2703119301925986,0.5263684481525815,0.5098531424397624,0.757317753957737
Human,207,0.27296014904083826,0.529704182122881,0.5863452021510229,0.809611715949075
Human,208,0.17771407877534173,0.39333861655156704,0.24297447144191708,0.49054405120481703
Human,209,0.12520767733666555,0.3003986080354296,0.1776497038155965,0.39323348659783136
Human,210,0.30269239267178366,0.5656445646586927,0.6079534133927291,0.8230762314244052
Human,211,0.11425519063596727,0.2790090968161136,0.14390732716005836,0.33523611494240724
Human,212,0.21547725709999302,0.4517486509075966,0.4604937392016763,0.7191515994436676
Human,213,0.25803133511978865,0.5105949909293914,0.5255354349116013,0.7686747093583868
Human,214,0.3115909188487781,0.5758891178035153,0.5398328828940452,0.7787302533531996
Human,215,0.3389709259552789,0.606047686758601,0.5303840699071988,0.7721160760302238
Human,216,0.10833875333804299,0.26713427200775686,0.15562986072153354,0.3560618651892849
Human,217,0.19926974093284736,0.4274525178231265,0.2870087954723601,0.5470246275330983
Human,218,0.2545353877463444,0.5060108350383549,0.4515600941542794,0.7118206673362238
Human,219,0.10464579945851833,0.2596043821495965,0.1470432852688449,0.34088125620780246
Human,220,0.1248161621502923,0.29964692747561134,0.17962385427070207,0.39644838790301457
Human,221,0.2403451298851079,0.48695896045619913,0.4457127210808566,0.7069473284203857
Human,222,0.2508675346868227,0.5011553764768703,0.3268389561433446,0.5929309819916412
Human,223,0.0770771222255795,0.2003470227557818,0.09766445049816085,0.24511525760840291
Human,224,0.3382873975580867,0.6053187699293416,0.4602644995204602,0.718965190971303
Human,225,0.3175977838497079,0.5826785311616425,0.5797321551843059,0.8053832875135797
Human,226,0.3764964979754262,0.6443205971359999,0.6152203763221743,0.8274871801810285
Human,227,0.2986250920697258,0.560886005902605,0.5634074034860097,0.7947199751088934
Human,228,0.12282484422542236,0.2958091155905328,0.1667047095854706,0.3750641937623045
Human,229,0.22186101829302413,0.4610188374300696,0.5480950848571917,0.7844160698433279
Human,230,0.0912246555941246,0.2314466795260403,0.11754695328463056,0.28551744768414206
Human,231,0.330384184661089,0.5968036074698325,0.6113757913702227,0.8251607549636114
Human,232,0.17155579051763972,0.3831903311832142,0.2477964897741706,0.4970533290060043
