endpoint,bootstrap_replicate,icc_c_k
QGEval,353,0.5315044377613138
QGEval,354,0.8034828581038507
QGEval,355,0.7308987054793844
QGEval,356,0.640496058273016
QGEval,357,0.7531023030720085
QGEval,358,0.6481642865174844
QGEval,359,0.75818546438901
QGEval,360,0.6523344449737962
QGEval,361,0.7541968607481602
QGEval,362,0.6377071368474958
QGEval,363,0.6445224897389238
QGEval,364,0.6879419864653533
QGEval,365,0.7189991388649679
QGEval,366,0.5555979255643678
QGEval,367,0.5845005573595686
QGEval,368,0.6599729476641336
QGEval,369,0.7469461297284088
QGEval,370,0.40726171609689765
QGEval,371,0.7227494449829581
QGEval,372,0.7335844446706706
QGEval,373,0.6405071216152759
QGEval,374,0.6882879202581796
QGEval,375,0.6487930434782598
QGEval,376,0.5099489506522964
QGEval,377,0.5495135367283883
QGEval,378,0.5607631479854391
QGEval,379,0.6985534464109535
QGEval,380,0.49449444286856287
QGEval,381,0.6732666943442015
QGEval,382,0.7673467468973293
QGEval,383,0.639806426199988
QGEval,384,0.7128326473853608
QGEval,385,0.6444813425268702
QGEval,386,0.7229260288552501
QGEval,387,0.39934776163652547
QGEval,388,0.699622668041624
QGEval,389,0.63164730500036
QGEval,390,0.7859308067009875
QGEval,391,0.7036442974416198
QGEval,392,0.7357899223575227
QGEval,393,0.7444969592808034
QGEval,394,0.2987461384699253
QGEval,395,0.7136417381022755
QGEval,396,0.7079559610787515
QGEval,397,0.6675905230219041
QGEval,398,0.7903832908878315
QGEval,399,0.7306240501985388
QGEval,400,0.7404314099161605
QGEval,401,0.5702903560318006
QGEval,402,0.7731130520764666
QGEval,403,0.7061850707602899
QGEval,404,0.7279846833238726
QGEval,405,0.7148062272275584
QGEval,406,0.6674989596337904
QGEval,407,0.553484036355162
QGEval,408,0.5138205642937496
QGEval,409,0.4929267525935227
QGEval,410,0.7266253813076549
QGEval,411,0.7023797188546949
QGEval,412,0.6274465584978209
QGEval,413,0.5726551480959094
QGEval,414,0.6960825358851671
QGEval,415,0.3754076579296997
QGEval,416,0.7139063767332272
QGEval,417,0.6906088874318237
QGEval,418,0.6993172369073488
QGEval,419,0.695759308834266
QGEval,420,0.57834127524393
QGEval,421,0.672401153413811
QGEval,422,0.6672766087221704
QGEval,423,0.4156843877796474
QGEval,424,0.3783240027991591
QGEval,425,0.6453598946649755
QGEval,426,0.7062761769305111
QGEval,427,0.7014993184915943
QGEval,428,0.6931797389000702
QGEval,429,0.7736133881894386
QGEval,430,0.22006458369697965
QGEval,431,0.7714105675877516
QGEval,432,0.7082999097563412
QGEval,433,0.7416537159349496
QGEval,434,0.7127155389734791
QGEval,435,0.32037776970577386
QGEval,436,0.7097471390735095
QGEval,437,0.7380055359065041
QGEval,438,0.5113792471838063
QGEval,439,0.7608000384428505
QGEval,440,0.4620135886349593
QGEval,441,0.7484295321853515
QGEval,442,0.5738950684122445
QGEval,443,0.6392382321236066
QGEval,444,0.8055448568048639
QGEval,445,0.7536114267164419
QGEval,446,0.7546105634131849
QGEval,447,0.6453928998803343
QGEval,448,0.4560564244096876
QGEval,449,0.4538651486305611
QGEval,450,0.36929748964443393
QGEval,451,0.6617235916313303
QGEval,452,0.7510334137099549
QGEval,453,0.3550341877572161
QGEval,454,0.5559728838402344
QGEval,455,0.5153274587409447
QGEval,456,0.7138413685847582
QGEval,457,0.6393050747828353
QGEval,458,0.7116614867397898
QGEval,459,0.7367054827753515
QGEval,460,0.7081653841455963
QGEval,461,0.6583108513189442
QGEval,462,0.45661691287539163
QGEval,463,0.5166274929603668
